correlation,cpu_duration,gpu_duration,launch_delay
16218,3.0,9.0,6.0
16229,5.0,8.0,2.0
16244,4.0,11.0,3.0
16255,5.0,5.0,3.0
16270,6.0,11.0,2.0
16283,672.0,3.0,1.0
16294,8.0,14.0,3.0
16305,4.0,13.0,4.0
16316,5.0,7.0,3.0
16331,7.0,12.0,1.0
16342,5.0,5.0,3.0
16357,5.0,11.0,3.0
16368,3.0,3.0,3.0
16379,2.0,14.0,4.0
16390,2.0,14.0,10.0
16401,3.0,7.0,8.0
16416,3.0,11.0,3.0
16427,3.0,5.0,5.0
16442,5.0,11.0,3.0
16453,2.0,4.0,5.0
16465,10.0,23.0,2.0
